time,value,dose,figure,pub,author
0.472,0.35,150,2a,rifampicin,Asaumi
1.001,1.665,150,2a,rifampicin,Asaumi
1.977,1.541,150,2a,rifampicin,Asaumi
2.985,1.263,150,2a,rifampicin,Asaumi
3.992,1.067,150,2a,rifampicin,Asaumi
5.993,0.531,150,2a,rifampicin,Asaumi
8.01,0.326,150,2a,rifampicin,Asaumi
12.024,0.159,150,2a,rifampicin,Asaumi
0.51,1.113,300,2a,rifampicin,Asaumi
1.014,2.876,300,2a,rifampicin,Asaumi
2.004,3.365,300,2a,rifampicin,Asaumi
3.013,2.953,300,2a,rifampicin,Asaumi
3.992,2.634,300,2a,rifampicin,Asaumi
5.993,1.857,300,2a,rifampicin,Asaumi
8.014,1.194,300,2a,rifampicin,Asaumi
12.012,0.409,300,2a,rifampicin,Asaumi
0.487,2.282,450,2a,rifampicin,Asaumi
0.992,4.971,450,2a,rifampicin,Asaumi
1.991,5.555,450,2a,rifampicin,Asaumi
2.988,5.247,450,2a,rifampicin,Asaumi
4.001,4.912,450,2a,rifampicin,Asaumi
5.991,3.364,450,2a,rifampicin,Asaumi
7.999,2.406,450,2a,rifampicin,Asaumi
11.994,0.964,450,2a,rifampicin,Asaumi
0.499,1.701,600,2a,rifampicin,Asaumi
0.982,7.696,600,2a,rifampicin,Asaumi
2.03,8.321,600,2a,rifampicin,Asaumi
3.017,6.632,600,2a,rifampicin,Asaumi
4.017,6.362,600,2a,rifampicin,Asaumi
6.019,4.747,600,2a,rifampicin,Asaumi
8.013,3.46,600,2a,rifampicin,Asaumi
12.001,1.276,600,2a,rifampicin,Asaumi
132.082,0.545,0,4a,rifampicin,Asaumi
132.228,4.066,0,4a,rifampicin,Asaumi
132.324,6.349,0,4a,rifampicin,Asaumi
132.499,7.668,0,4a,rifampicin,Asaumi
132.73,6.995,0,4a,rifampicin,Asaumi
132.983,4.629,0,4a,rifampicin,Asaumi
133.138,4.472,0,4a,rifampicin,Asaumi
133.239,4.146,0,4a,rifampicin,Asaumi
133.331,3.832,0,4a,rifampicin,Asaumi
133.504,3.603,0,4a,rifampicin,Asaumi
133.747,3.119,0,4a,rifampicin,Asaumi
133.999,2.72,0,4a,rifampicin,Asaumi
134.499,2.164,0,4a,rifampicin,Asaumi
134.993,1.842,0,4a,rifampicin,Asaumi
135.518,1.727,0,4a,rifampicin,Asaumi
136.012,1.386,0,4a,rifampicin,Asaumi
137.002,1.077,0,4a,rifampicin,Asaumi
137.999,0.804,0,4a,rifampicin,Asaumi
139.014,0.704,0,4a,rifampicin,Asaumi
140.987,0.521,0,4a,rifampicin,Asaumi
NA,NA,0,4a,rifampicin,Asaumi
132.069,0.52,5,4a,rifampicin,Asaumi
132.149,2.536,5,4a,rifampicin,Asaumi
132.312,5.311,5,4a,rifampicin,Asaumi
132.502,5.865,5,4a,rifampicin,Asaumi
132.742,5.123,5,4a,rifampicin,Asaumi
132.982,3.749,5,4a,rifampicin,Asaumi
133.163,3.5,5,4a,rifampicin,Asaumi
133.254,3.331,5,4a,rifampicin,Asaumi
133.334,3.127,5,4a,rifampicin,Asaumi
133.483,2.885,5,4a,rifampicin,Asaumi
133.744,2.424,5,4a,rifampicin,Asaumi
133.984,2.259,5,4a,rifampicin,Asaumi
134.481,1.834,5,4a,rifampicin,Asaumi
134.996,1.6,5,4a,rifampicin,Asaumi
135.491,1.307,5,4a,rifampicin,Asaumi
135.996,1.022,5,4a,rifampicin,Asaumi
137.013,0.791,5,4a,rifampicin,Asaumi
137.991,0.571,5,4a,rifampicin,Asaumi
139.005,0.5,5,4a,rifampicin,Asaumi
141.013,0.344,5,4a,rifampicin,Asaumi
NA,NA,5,4a,rifampicin,Asaumi
132.066,0.76,10,4a,rifampicin,Asaumi
132.141,3.104,10,4a,rifampicin,Asaumi
132.237,4.92,10,4a,rifampicin,Asaumi
132.317,5.81,10,4a,rifampicin,Asaumi
132.748,4.407,10,4a,rifampicin,Asaumi
132.963,3.15,10,4a,rifampicin,Asaumi
133.152,3.075,10,4a,rifampicin,Asaumi
133.215,2.978,10,4a,rifampicin,Asaumi
133.317,2.675,10,4a,rifampicin,Asaumi
133.502,2.365,10,4a,rifampicin,Asaumi
133.726,1.988,10,4a,rifampicin,Asaumi
134.001,1.787,10,4a,rifampicin,Asaumi
134.504,1.392,10,4a,rifampicin,Asaumi
134.991,1.208,10,4a,rifampicin,Asaumi
135.516,0.941,10,4a,rifampicin,Asaumi
136.018,0.776,10,4a,rifampicin,Asaumi
137.004,0.63,10,4a,rifampicin,Asaumi
137.997,0.462,10,4a,rifampicin,Asaumi
139.002,0.403,10,4a,rifampicin,Asaumi
139.999,0.313,10,4a,rifampicin,Asaumi
NA,NA,10,4a,rifampicin,Asaumi
132.064,0.632,25,4a,rifampicin,Asaumi
132.142,1.723,25,4a,rifampicin,Asaumi
132.233,2.862,25,4a,rifampicin,Asaumi
132.331,3.493,25,4a,rifampicin,Asaumi
132.501,3.586,25,4a,rifampicin,Asaumi
132.724,2.762,25,4a,rifampicin,Asaumi
132.971,2.025,25,4a,rifampicin,Asaumi
133.153,1.877,25,4a,rifampicin,Asaumi
133.236,1.764,25,4a,rifampicin,Asaumi
133.357,1.584,25,4a,rifampicin,Asaumi
133.493,1.395,25,4a,rifampicin,Asaumi
133.743,1.221,25,4a,rifampicin,Asaumi
134.001,1.106,25,4a,rifampicin,Asaumi
134.233,0.995,25,4a,rifampicin,Asaumi
134.493,0.861,25,4a,rifampicin,Asaumi
135.01,0.714,25,4a,rifampicin,Asaumi
135.49,0.575,25,4a,rifampicin,Asaumi
135.997,0.45,25,4a,rifampicin,Asaumi
137.003,0.333,25,4a,rifampicin,Asaumi
138,0.245,25,4a,rifampicin,Asaumi
139.006,0.204,25,4a,rifampicin,Asaumi
132.067,0.704,75,4a,rifampicin,Asaumi
132.15,2.098,75,4a,rifampicin,Asaumi
132.156,1.87,75,4a,rifampicin,Asaumi
132.32,2.026,75,4a,rifampicin,Asaumi
132.485,2.126,75,4a,rifampicin,Asaumi
132.763,1.751,75,4a,rifampicin,Asaumi
132.989,1.44,75,4a,rifampicin,Asaumi
133.14,1.388,75,4a,rifampicin,Asaumi
133.239,1.193,75,4a,rifampicin,Asaumi
133.347,1.065,75,4a,rifampicin,Asaumi
133.487,0.963,75,4a,rifampicin,Asaumi
133.732,0.818,75,4a,rifampicin,Asaumi
134.01,0.692,75,4a,rifampicin,Asaumi
134.246,0.667,75,4a,rifampicin,Asaumi
134.493,0.54,75,4a,rifampicin,Asaumi
134.743,0.522,75,4a,rifampicin,Asaumi
134.988,0.456,75,4a,rifampicin,Asaumi
135.51,0.373,75,4a,rifampicin,Asaumi
136.005,0.295,75,4a,rifampicin,Asaumi
137.003,0.176,75,4a,rifampicin,Asaumi
137.994,0.126,75,4a,rifampicin,Asaumi
